slugSeason,newGameID,idGame,slugTeam,slugOpp,slugMatchup,dateGame,outcomeGame.team1,teamML.team1,oppML.team1
2007-08,200708_1030_11_14,20700002,HOU,LAL,HOU @ LAL,2007-10-30,W,-230.0,190.0
2007-08,200708_1030_25_27,20700001,SAS,POR,SAS vs. POR,2007-10-30,W,-1400.0,900.0
2007-08,200708_1030_29_10,20700003,UTA,GSW,UTA @ GSW,2007-10-30,W,100.0,-120.0
2007-08,200708_1031_07_06,20700008,CLE,DAL,CLE vs. DAL,2007-10-31,L,120.0,-140.0
2007-08,200708_1031_26_19,20700010,NOH,SAC,NOH vs. SAC,2007-10-31,W,-525.0,425.0
2007-08,200708_1031_05_03,20700007,CHI,NJN,CHI @ NJN,2007-10-31,L,105.0,-125.0
2007-08,200708_1031_17_22,20700005,ORL,MIL,ORL vs. MIL,2007-10-31,W,-295.0,245.0
2007-08,200708_1031_21_08,20700011,SEA,DEN,SEA @ DEN,2007-10-31,L,625.0,-825.0
2007-08,200708_1031_23_28,20700004,TOR,PHI,TOR vs. PHI,2007-10-31,W,-305.0,255.0
2007-08,200708_1031_27_15,20700009,MEM,SAS,MEM vs. SAS,2007-10-31,L,210.0,-250.0
2007-08,200708_1031_30_12,20700006,WAS,IND,WAS @ IND,2007-10-31,L,-125.0,105.0
2007-08,200708_1101_24_21,20700014,SEA,PHX,SEA vs. PHX,2007-11-01,L,575.0,-725.0
2007-08,200708_1101_11_29,20700013,UTA,HOU,UTA vs. HOU,2007-11-01,L,-160.0,140.0
2007-08,200708_1101_09_16,20700012,DET,MIA,DET @ MIA,2007-11-01,W,-190.0,160.0
2007-08,200708_1102_07_01,20700019,ATL,DAL,ATL vs. DAL,2007-11-02,W,210.0,-250.0
2007-08,200708_1102_25_19,20700022,NOH,POR,NOH vs. POR,2007-11-02,W,-325.0,275.0
2007-08,200708_1102_08_18,20700023,DEN,MIN,DEN @ MIN,2007-11-02,W,-375.0,315.0
2007-08,200708_1102_10_13,20700027,LAC,GSW,LAC vs. GSW,2007-11-02,W,-125.0,105.0
2007-08,200708_1102_16_12,20700017,MIA,IND,MIA @ IND,2007-11-02,L,235.0,-275.0
2007-08,200708_1102_17_04,20700015,MIL,CHA,MIL @ CHA,2007-11-02,L,150.0,-170.0
2007-08,200708_1102_28_03,20700018,NJN,TOR,NJN vs. TOR,2007-11-02,L,-175.0,155.0
2007-08,200708_1102_20_06,20700020,NYK,CLE,NYK @ CLE,2007-11-02,L,210.0,-250.0
2007-08,200708_1102_09_22,20700016,ORL,DET,ORL vs. DET,2007-11-02,L,-170.0,150.0
2007-08,200708_1102_23_05,20700024,PHI,CHI,PHI @ CHI,2007-11-02,W,400.0,-500.0
2007-08,200708_1102_14_24,20700026,PHX,LAL,PHX vs. LAL,2007-11-02,L,-435.0,365.0
2007-08,200708_1102_26_27,20700025,SAS,SAC,SAS vs. SAC,2007-11-02,W,-2000.0,1200.0
2007-08,200708_1102_30_02,20700021,WAS,BOS,WAS @ BOS,2007-11-02,L,285.0,-335.0
2007-08,200708_1103_26_07,20700033,DAL,SAC,DAL vs. SAC,2007-11-03,W,-3000.0,1500.0
2007-08,200708_1103_10_29,20700034,GSW,UTA,GSW @ UTA,2007-11-03,L,425.0,-550.0
2007-08,200708_1103_25_11,20700032,HOU,POR,HOU vs. POR,2007-11-03,W,-1000.0,700.0
2007-08,200708_1103_05_17,20700031,MIL,CHI,MIL vs. CHI,2007-11-03,W,155.0,-175.0
2007-08,200708_1103_22_30,20700029,ORL,WAS,ORL @ WAS,2007-11-03,W,110.0,-130.0
2007-08,200708_1103_12_15,20700030,IND,MEM,IND @ MEM,2007-11-03,W,180.0,-220.0
2007-08,200708_1103_03_23,20700028,PHI,NJN,PHI vs. NJN,2007-11-03,L,130.0,-150.0
2007-08,200708_1104_02_28,20700035,BOS,TOR,BOS @ TOR,2007-11-04,W,105.0,-125.0
2007-08,200708_1104_06_24,20700041,CLE,PHX,CLE @ PHX,2007-11-04,L,290.0,-350.0
2007-08,200708_1104_19_08,20700040,DEN,NOH,DEN vs. NOH,2007-11-04,L,-215.0,185.0
2007-08,200708_1104_21_13,20700036,LAC,SEA,LAC vs. SEA,2007-11-04,W,-300.0,250.0
2007-08,200708_1104_04_16,20700038,MIA,CHA,MIA vs. CHA,2007-11-04,L,-160.0,140.0
2007-08,200708_1104_18_20,20700037,NYK,MIN,NYK vs. MIN,2007-11-04,W,-425.0,355.0
2007-08,200708_1104_29_14,20700042,UTA,LAL,UTA @ LAL,2007-11-04,L,-105.0,-115.0
2007-08,200708_1104_01_09,20700039,DET,ATL,DET vs. ATL,2007-11-04,W,-350.0,290.0
2007-08,200708_1105_11_07,20700043,HOU,DAL,HOU @ DAL,2007-11-05,L,170.0,-200.0
2007-08,200708_1106_06_10,20700053,CLE,GSW,CLE @ GSW,2007-11-06,W,115.0,-135.0
2007-08,200708_1106_19_14,20700052,NOH,LAL,NOH @ LAL,2007-11-06,W,135.0,-155.0
2007-08,200708_1106_13_05,20700049,CHI,LAC,CHI vs. LAC,2007-11-06,L,-405.0,335.0
2007-08,200708_1106_08_20,20700046,DEN,NYK,DEN @ NYK,2007-11-06,L,-160.0,140.0
2007-08,200708_1106_27_11,20700050,HOU,SAS,HOU vs. SAS,2007-11-06,W,115.0,-135.0
2007-08,200708_1106_28_17,20700047,MIL,TOR,MIL vs. TOR,2007-11-06,W,140.0,-160.0
2007-08,200708_1106_01_03,20700045,NJN,ATL,NJN vs. ATL,2007-11-06,W,-190.0,160.0
2007-08,200708_1106_22_18,20700048,ORL,MIN,ORL @ MIN,2007-11-06,W,-300.0,250.0
2007-08,200708_1106_21_26,20700051,SAC,SEA,SAC vs. SEA,2007-11-06,W,-130.0,110.0
2007-08,200708_1106_24_04,20700044,CHA,PHX,CHA vs. PHX,2007-11-06,L,165.0,-195.0
2007-08,200708_1107_08_02,20700058,DEN,BOS,DEN @ BOS,2007-11-07,L,245.0,-295.0
2007-08,200708_1107_13_12,20700057,LAC,IND,LAC @ IND,2007-11-07,W,240.0,-290.0
2007-08,200708_1107_16_27,20700059,MIA,SAS,MIA @ SAS,2007-11-07,L,800.0,-1200.0
